callDateTime,priority,district,description,callNumber,incidentLocation,location
07/13/2015 01:18:00 PM,Low,NE,OTHER,P151941482,1100 E COLD SPRING LN,"(39.3451583,-76.5996398)"
07/13/2015 01:19:00 PM,Medium,NW,NARCOTICSOutside,P151941483,3600 W COLD SPRING LN,"(39.3360335,-76.6754190)"
07/13/2015 01:21:00 PM,Low,NW,WANTED ON WARR,P151941484,NORTHWEST DISTRICT,"(39.349975,-76.693382)"
07/13/2015 01:19:00 PM,Medium,SD,BURGLARY,P151941485,1500 BATTERY AV,"(39.2725544,-76.6093790)"
07/13/2015 01:19:00 PM,Low,CD,DWI,P151941486,W NORTH AV/LINDEN AV,"(39.310541,-76.632462)"
07/13/2015 01:17:00 PM,Non-Emergency,NW,56,P151941487,4400 MAINE AV,"(39.3292420,-76.6919710)"
07/13/2015 01:19:00 PM,Medium,WD,FAMILY DISTURB,P151941488,W NORTH AV/N FULTON AV,"(39.309885,-76.646503)"
07/13/2015 01:22:00 PM,Medium,CW,Lab Request,P151941489,500 SCOTT ST,"(39.2829562,-76.6288461)"
07/13/2015 01:18:00 PM,Medium,NE,COMMON ASSAULT,P151941490,5200 SINCLAIR LN,"(39.3228622,-76.5441376)"
07/13/2015 01:20:00 PM,Medium,NE,FAMILY DISTURB,P151941492,1800 HOMESTEAD ST,"(39.3192097,-76.5928217)"
07/13/2015 01:24:00 PM,High,CW,DEPTACCIDENT/INJ,P151941493,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
07/13/2015 01:22:00 PM,Low,SD,OTHER,P151941494,1900 LIGHT ST,"(39.2683330,-76.6122649)"
07/13/2015 01:21:00 PM,Medium,CD,AUTO THEFT,P151941495,1300 ST PAUL ST,"(39.3047610,-76.6146632)"
07/13/2015 01:22:00 PM,Medium,ED,MISSING PERSON,P151941497,3000 E BIDDLE ST,"(39.3050420,-76.5756084)"
07/13/2015 01:25:00 PM,High,SD,RA POLICE,P151941498,4100 DORIS AV,"(39.2298010,-76.6030070)"
07/13/2015 01:25:00 PM,Medium,ED,911/NO  VOICE,P151941499,2200 JEFFERSON ST,"(39.2967530,-76.5863850)"
07/13/2015 01:23:00 PM,Medium,ED,911/NO  VOICE,P151941500,500 E PRESTON ST,"(39.3048077,-76.6092968)"
07/13/2015 01:25:00 PM,High,ED,AUTO ACC/INJURY,P151941501,400 E 22ND ST,"(39.3146670,-76.6110090)"
07/13/2015 01:21:00 PM,Medium,NE,FALSE PRETENSE,P151941502,3000 ORLANDO AV,"(39.3672937,-76.5484409)"
07/13/2015 01:24:00 PM,Low,NW,LARCENY F/AUTO,P151941503,5200 WABASH AV,"(39.3419882,-76.6866063)"
07/13/2015 04:28:00 PM,Low,ED,CITIZEN ASSIST,P151942174,E FEDERAL ST/DUNCANWOOD LN,"(39.309109,-76.567319)"
07/13/2015 04:29:00 PM,Medium,SE,INJURED PERSON,P151942175,3300 O'DONNELL ST,"(39.2806430,-76.5694501)"
07/13/2015 04:34:00 PM,Medium,SD,911/NO  VOICE,P151942176,WHETSTONE WY/WOODALL ST,"(39.269956,-76.599356)"
07/13/2015 04:30:00 PM,Low,SD,LARCENCY,P151942178,600 FREEMAN ST,"(39.2368721,-76.6020194)"
07/13/2015 04:34:00 PM,High,SE,SILENT ALARM,P151942179,0 N MILTON AV,"(39.2920250,-76.5818911)"
05/19/2015 01:33:00 AM,Medium,CW,Lab Request,P151390108,H0,"(38.1877274,-76.4306578)"
07/13/2015 01:30:00 PM,Medium,NE,911/NO  VOICE,P151941521,5600 LOCH RAVEN BL,"(39.3242589,-76.6009401)"
